label,initial_state,t,delta,mu_power_reference
P0,0,0,0.7199248120300753,0.7199248120300753
P0,0,1,0.31992481203007517,0.34417995557385156
P0,0,2,0.14492481203007515,0.16454474111647882
P0,0,3,0.06667481203007515,0.0786651616127584
P0,0,4,0.031037312030075148,0.03760805486442654
P0,0,5,0.014571687030075137,0.01797957013866131
P0,0,6,0.006882343280075143,0.008595630471620529
P0,0,7,0.003263966717575159,0.004109378735689426
P0,0,8,0.001552228983200149,0.0019646020904564
P0,0,9,0.0007395436355438767,0.0009392323322026745
P0,0,10,0.0003527742302704556,0.00044902597739267366
P0,0,11,0.0001684118815106772,0.00021466927985815755
P0,0,12,8.043982562636054e-05,0.00010262858283257054
P0,0,13,3.8433793951894724e-05,4.906443074286742e-05
P0,0,14,1.8367408930991536e-05,2.3456607288916387e-05
P0,0,15,8.77893572404087e-06,1.1214079470114523e-05
P0,0,16,4.196370303813368e-06,5.36120065502676e-06
P0,0,17,2.0059955851969846e-06,2.5630701601551818e-06
P0,0,18,9.5896239982185e-07,1.225346534962907e-06
P0,0,19,4.584405288304838e-07,5.858107804020065e-07
P0,0,20,2.1916473116889712e-07,2.800630357563269e-07
P0,0,21,1.0477611352144311e-07,1.338918753649843e-07
P0,0,22,5.0090620221099336e-08,6.40107118754157e-08
P0,0,23,2.394705539421338e-08,3.060209010911382e-08
P0,0,24,1.144850635126371e-08,1.4630175038031313e-08
P0,0,25,5.473261149857578e-09,6.994359564338689e-09
P0,0,26,2.616639557806444e-09,3.3438469183099444e-09
P0,0,27,1.2509554780937293e-09,1.5986184453684285e-09
P0,0,28,5.980533290816936e-10,7.642637346460283e-10
P0,0,29,2.859157910428678e-10,3.6537740308662547e-10
P0,0,30,1.3668995102467107e-10,1.7467876681098536e-10
P0,0,31,6.534846275219053e-11,8.35100127069777e-11
P0,0,32,3.124171754631533e-11,3.992426984480516e-11
P0,0,33,1.4936010761523733e-11,1.908690073169677e-11
P0,0,34,7.140621427481619e-12,9.125020468947903e-12
P0,0,35,3.4137970228442782e-12,4.362468256590346e-12
P0,0,36,1.6320972351380192e-12,2.0855985314795314e-12
P0,0,37,7.803063750699835e-13,9.970780252529033e-13
P0,0,38,3.7310432521309167e-13,4.766807098473383e-13
P0,0,39,1.7842671784507047e-13,2.2789038910262626e-13
P0,0,40,8.53345172302511e-14,1.0894929954681567e-13
P0,0,41,4.081457394278232e-14,5.208622407677033e-14
P0,0,42,1.955380302121057e-14,2.4901259116491702e-14
P0,0,43,9.395262345890387e-15,1.1904735207388632e-14
P0,0,44,4.551914400963142e-15,5.69138772039755e-15
P0,0,45,2.2343238370581275e-15,2.7209252133376404e-15
P0,0,46,1.1379786002407855e-15,1.3008135063515484e-15
P0,0,47,7.632783294297951e-16,6.218898520297678e-16
P0,0,48,7.355227538141662e-16,2.973116331966245e-16
P0,0,49,7.355227538141662e-16,1.4213804413359852e-16
P0,0,50,7.632783294297951e-16,6.795302078463769e-17
P0,0,51,7.771561172376096e-16,3.248681985111045e-17
P0,0,52,7.91033905045424e-16,1.5531222186329933e-17
P0,0,53,8.187894806610529e-16,7.42513005910309e-18
P0,0,54,8.187894806610529e-16,3.5497886601044256e-18
P0,0,55,8.187894806610529e-16,1.6970745873949167e-18
P0,0,56,8.187894806610529e-16,8.1133341473261215e-19
P0,0,57,8.187894806610529e-16,3.878803646881198e-19
P0,0,58,8.187894806610529e-16,1.8543692960085023e-19
P0,0,59,8.187894806610529e-16,8.865324979118207e-20
P0,0,60,8.187894806610529e-16,4.238313649527601e-20
P0,0,61,8.187894806610529e-16,2.0262429898603336e-20
P0,0,62,8.187894806610529e-16,9.687014679566617e-21
P0,0,63,8.187894806610529e-16,4.631145122856528e-21
P0,0,64,8.187894806610529e-16,2.2140469337987355e-21
P0,0,65,8.187894806610529e-16,1.0584863343777025e-21
P0,0,66,8.187894806610529e-16,5.060386493894412e-22
P0,0,67,8.187894806610529e-16,2.419257635729795e-22
P0,0,68,8.187894806610529e-16,1.1565929825910725e-22
P0,0,69,8.187894806610529e-16,5.529412442984309e-23
P0,0,70,8.187894806610529e-16,2.6434884548698363e-23
P0,0,71,8.187894806610529e-16,1.2637927235644167e-23
P0,0,72,8.187894806610529e-16,6.0419104354023374e-24
P0,0,73,8.187894806610529e-16,2.8885022859180103e-24
P0,0,74,8.187894806610529e-16,1.3809283578362037e-24
P0,0,75,8.187894806610529e-16,6.601909712078112e-25
P0,0,76,8.187894806610529e-16,3.1562254188715186e-25
P0,0,77,8.187894806610529e-16,1.5089208015834837e-25
P0,0,78,8.187894806610529e-16,7.213812967343152e-26
P0,0,79,8.187894806610529e-16,3.448762683448835e-26
P0,0,80,8.187894806610529e-16,1.6487763268320156e-26
P0,0,81,8.187894806610529e-16,7.882430962756631e-27
P0,0,82,8.187894806610529e-16,3.7684139971858514e-27
P0,0,83,8.187894806610529e-16,1.8015944727310266e-27
P0,0,84,8.187894806610529e-16,8.613020349141088e-28
P0,0,85,8.187894806610529e-16,4.117692447305481e-28
P0,0,86,8.187894806610529e-16,1.9685766900907684e-28
P0,0,87,8.187894806610529e-16,9.411324994183638e-29
P0,0,88,8.187894806610529e-16,4.4993440485197276e-29
P0,0,89,8.187894806610529e-16,2.1510357871459224e-29
P0,0,90,8.187894806610529e-16,1.0283621140518769e-29
P0,0,91,8.187894806610529e-16,4.9163693320993764e-30
P0,0,92,8.187894806610529e-16,2.350406250807092e-30
P0,0,93,8.187894806610529e-16,1.1236766749323994e-30
P0,0,94,8.187894806610529e-16,5.372046935943776e-31
P0,0,95,8.187894806610529e-16,2.568255524545712e-31
P0,0,96,8.187894806610529e-16,1.2278255417365927e-31
P0,0,97,8.187894806610529e-16,5.869959381115018e-32
P0,0,98,8.187894806610529e-16,2.8062963315786925e-32
P0,0,99,8.187894806610529e-16,1.3416275291390667e-32
P0,0,100,8.187894806610529e-16,6.414021237490697e-33
P0,0,101,8.187894806610529e-16,3.0664001402372362e-33
P0,0,102,8.187894806610529e-16,1.465977344304136e-33
P0,0,103,8.187894806610529e-16,7.00850989997261e-34
P0,0,104,8.187894806610529e-16,3.3506118773840806e-34
P0,0,105,8.187894806610529e-16,1.6018526210416206e-34
P0,0,106,8.187894806610529e-16,7.658099217212847e-35
P0,0,107,8.187894806610529e-16,3.6611660055555277e-35
