p,degree,count,probability
0,6,200000,1.0
0.001,5,577,0.002885
0.001,6,198846,0.99423
0.001,7,577,0.002885
0.003,4,4,2e-05
0.003,5,1760,0.0088
0.003,6,196472,0.98236
0.003,7,1760,0.0088
0.003,8,4,2e-05
0.01,3,1,5e-06
0.01,4,65,0.000325
0.01,5,5777,0.028885
0.01,6,188329,0.941645
0.01,7,5746,0.02873
0.01,8,82,0.00041
0.03,3,6,3e-05
0.03,4,471,0.002355
0.03,5,15491,0.077455
0.03,6,168340,0.8417
0.03,7,14956,0.07478
0.03,8,714,0.00357
0.03,9,21,0.000105
0.03,10,1,5e-06
0.1,3,137,0.000685
0.1,4,4017,0.020085
0.1,5,36961,0.184805
0.1,6,119534,0.59767
0.1,7,33875,0.169375
0.1,8,4949,0.024745
0.1,9,477,0.002385
0.1,10,48,0.00024
0.1,11,2,1e-05
0.3,3,2131,0.010655
0.3,4,17256,0.08628
0.3,5,50708,0.25354
0.3,6,66679,0.333395
0.3,7,41694,0.20847
0.3,8,15961,0.079805
0.3,9,4477,0.022385
0.3,10,929,0.004645
0.3,11,141,0.000705
0.3,12,23,0.000115
0.3,13,1,5e-06
1,3,9693,0.048465
1,4,29773,0.148865
1,5,44577,0.222885
1,6,45358,0.22679
1,7,34030,0.17015
1,8,20211,0.101055
1,9,9882,0.04941
1,10,4221,0.021105
1,11,1579,0.007895
1,12,471,0.002355
1,13,150,0.00075
1,14,48,0.00024
1,15,5,2.5e-05
1,16,2,1e-05
